dt,yaw_cmd,yaw_pos,pitch_cmd,pitch_pos
0.32,0.0,-2.1093435287475586,-9.137480735778809,0.17576444149017334
0.32,0.0,-2.1093435287475586,-14.923172950744629,0.17576444149017334
0.32,0.0,-2.1093435287475586,-17.655542373657227,1.3183457851409912
0.32,0.0,-2.1093435287475586,-22.692014694213867,4.218717098236084
0.32,0.0,-2.1093435287475586,-27.02676773071289,8.613261222839355
0.32,0.0,-2.1093435287475586,-27.02676773071289,13.886686325073242
0.32,0.0,-2.1093435287475586,-28.886917114257812,23.11522674560547
0.34,0.0,-2.1093435287475586,-34.57168960571289,29.619125366210938
0.38,0.0,-2.1093435287475586,-34.57168960571289,40.3417854309082
0.42,0.0,-2.1972618103027344,-34.78822708129883,48.42770004272461
0.46,0.0,-2.1972618103027344,-33.557464599609375,58.886688232421875
0.48,0.0,-2.1972618103027344,-33.557464599609375,68.11520385742188
0.52,0.0,-2.1972618103027344,-29.736177444458008,77.95895385742188
0.56,0.0,-2.1972618103027344,-25.984498977661133,85.78121948242188
0.58,0.0,-2.1972618103027344,-25.984498977661133,94.57027435302734
0.62,0.0,-2.1972618103027344,-18.8404541015625,99.75582885742188
0.66,0.0,-2.1972618103027344,-13.284575462341309,106.5234146118164
0.68,0.0,-2.1972618103027344,-13.284575462341309,113.37887573242188
0.72,0.0,-2.1972618103027344,-4.199591159820557,118.74020385742188
0.76,0.0,-2.1972618103027344,2.075927972793579,122.95894622802734
0.78,0.0,-2.1972618103027344,2.075927972793579,125.9472427368164
0.8200000000000001,0.0,-2.1972618103027344,11.31437873840332,126.73824310302734
0.86,0.0,-2.1972618103027344,17.06585693359375,126.73824310302734
0.88,0.0,-2.1972618103027344,22.270658493041992,126.73824310302734
0.92,0.0,-2.1972618103027344,22.270658493041992,126.0351333618164
0.96,0.0,-2.285125494003296,24.613779067993164,122.60738372802734
0.98,0.0,-2.285125494003296,31.82454490661621,118.12496948242188
1.02,0.0,-2.285125494003296,31.82454490661621,110.03903198242188
1.06,0.0,-2.3730435371398926,34.56663131713867,103.09566497802734
1.1,0.0,-2.285125494003296,34.99000930786133,95.71286010742188
1.12,0.0,-2.285125494003296,34.99000930786133,84.72653198242188
1.16,0.0,-2.285125494003296,33.47360610961914,74.61911010742188
1.2,0.0,-2.285125494003296,31.071176528930664,64.24801635742188
1.22,0.0,-2.285125494003296,29.47747802734375,51.679656982421875
1.26,0.0,-2.285125494003296,25.568862915039062,38.67185974121094
1.3,0.0,-2.285125494003296,20.807241439819336,28.915996551513672
1.32,0.0,-2.285125494003296,20.807241439819336,17.57810401916504
1.36,0.0,-2.285125494003296,12.41223430633545,10.195296287536621
1.4000000000000001,0.0,-2.285125494003296,6.249491214752197,3.0761632919311523
1.42,0.0,-2.285125494003296,3.073871374130249,-3.603543519973755
1.46,0.0,-2.285125494003296,-3.3333444595336914,-8.525404930114746
1.5,0.0,-2.285125494003296,-9.635957717895508,-11.074240684509277
1.54,0.0,-2.285125494003296,-9.635957717895508,-11.425804138183594
1.56,0.0,-2.285125494003296,-12.681360244750977,-11.337912559509277
1.6,0.0,-2.285125494003296,-23.56568717956543,-10.371113777160645
1.6400000000000001,0.0,-2.285125494003296,-27.908313751220703,-7.2949323654174805
1.68,0.0,-2.285125494003296,-31.309268951416016,-2.6367435455322266
1.7,0.0,-2.285125494003296,-33.64970016479492,4.5702805519104
1.74,0.0,-2.285125494003296,-34.394683837890625,10.195296287536621
1.78,0.0,-2.285125494003296,-34.99997329711914,16.962865829467773
1.8,0.0,-2.285125494003296,-34.854087829589844,25.312471389770508
1.84,0.0,-2.285125494003296,-33.668949127197266,31.90428924560547
1.8800000000000001,0.0,-2.285125494003296,-31.32741928100586,41.48436737060547
1.9000000000000001,0.0,-2.285125494003296,-31.32741928100586,53.43746566772461
1.94,0.0,-2.285125494003296,-29.745431900024414,63.896453857421875
1.98,0.0,-2.285125494003296,-21.00879669189453,74.09175872802734
2.02,0.0,-2.285125494003296,-15.46090316772461,82.52926635742188
2.04,0.0,-2.285125494003296,-15.46090316772461,92.9003677368164
2.08,0.0,-2.285125494003296,-6.18765926361084,98.87692260742188
2.12,0.0,-2.285125494003296,0.31785088777542114,106.0839614868164
2.16,0.0,-2.285125494003296,6.819551944732666,114.25778198242188
2.18,0.0,-2.285125494003296,6.819551944732666,122.08003997802734
2.22,0.0,-2.285125494003296,16.069700241088867,127.61715698242188
2.2600000000000002,0.0,-2.285125494003296,21.58510398864746,131.04490661621094
2.3000000000000003,0.0,-2.285125494003296,26.34838104248047,133.06637573242188
2.32,0.0,-2.285125494003296,30.18927764892578,133.50582885742188
2.36,0.0,-2.285125494003296,31.71912384033203,133.59371948242188
2.4,0.0,-2.285125494003296,33.92781448364258,133.06637573242188
2.44,0.0,-2.285125494003296,34.937721252441406,131.22067260742188
2.46,0.0,-2.285125494003296,34.97897720336914,127.70504760742188
2.5,0.0,-2.285125494003296,34.12965774536133,123.22262573242188
2.54,0.0,-2.3730435371398926,34.12965774536133,115.83981323242188
2.56,0.0,-2.3730435371398926,30.59564971923828,107.92965698242188
2.6,0.0,-2.3730435371398926,26.84979248046875,99.66793823242188
2.62,0.0,-2.285125494003296,22.138525009155273,90.08786010742188
2.66,0.0,-2.3730435371398926,19.47145652770996,80.68356323242188
2.7,0.0,-2.285125494003296,13.632577896118164,71.19137573242188
2.74,0.0,-2.3730435371398926,7.296490669250488,60.732391357421875
2.7600000000000002,0.0,-2.3730435371398926,7.296490669250488,50.53708267211914
2.8000000000000003,0.0,-2.3730435371398926,4.012397289276123,42.36327362060547
2.84,0.0,-2.3730435371398926,-2.6401236057281494,37.17771530151367
2.86,0.0,-2.3730435371398926,-15.44183349609375,34.277313232421875
2.9,0.0,-2.3730435371398926,-15.44183349609375,33.837860107421875
2.94,0.0,-2.3730435371398926,-23.69179344177246,33.925750732421875
2.98,0.0,-2.3730435371398926,-28.158910751342773,33.925750732421875
3.0,0.0,-2.3730435371398926,-31.601348876953125,35.59567642211914
3.04,0.0,-2.3730435371398926,-32.89625930786133,39.46287536621094
3.08,0.0,-2.3730435371398926,-34.57168960571289,43.593719482421875
3.1,0.0,-2.3730435371398926,-34.57168960571289,52.11910629272461
3.14,0.0,-2.3730435371398926,-34.9357795715332,60.38082504272461
3.18,0.0,-2.285125494003296,-34.69734573364258,66.53317260742188
3.22,0.0,-2.285125494003296,-30.43227195739746,75.41012573242188
3.2600000000000002,0.0,-2.3730435371398926,-30.43227195739746,85.16598510742188
3.3000000000000003,0.0,-2.3730435371398926,-21.6882381439209,95.44918823242188
3.34,0.0,-2.3730435371398926,-21.6882381439209,103.62300872802734
3.36,0.0,-2.3730435371398926,-12.929020881652832,111.1816177368164
3.4,0.0,-2.3730435371398926,-6.431232929229736,118.12496948242188
3.42,0.0,-2.3730435371398926,0.31415504217147827,126.73824310302734
3.46,0.0,-2.3730435371398926,3.701070785522461,131.74801635742188
3.5,0.0,-2.3730435371398926,10.34438705444336,135.17575073242188
3.52,0.0,-2.3730435371398926,16.605741500854492,138.25192260742188
3.56,0.0,-2.3730435371398926,16.605741500854492,139.65817260742188
3.6,0.0,-2.3730435371398926,24.768329620361328,139.74606323242188
3.64,0.0,-2.3730435371398926,29.087312698364258,139.74606323242188
3.66,0.0,-2.3730435371398926,32.30849075317383,138.69137573242188
3.7,0.0,-2.3730435371398926,32.30849075317383,135.35153198242188
3.74,0.0,-2.3730435371398926,34.81890106201172,130.34176635742188
3.7800000000000002,0.0,-2.3730435371398926,34.84614181518555,123.83785247802734
3.8200000000000003,0.0,-2.3730435371398926,33.542728424072266,114.7851333618164
3.86,0.0,-2.3730435371398926,30.95425033569336,104.15036010742188
3.88,0.0,-2.3730435371398926,29.205991744995117,96.3281021118164
3.92,0.0,-2.3730435371398926,24.882963180541992,86.3085708618164
3.94,0.0,-2.3730435371398926,19.597959518432617,75.14645385742188
3.98,0.0,-2.3730435371398926,16.65614891052246,65.56637573242188
4.0,0.0,-2.3730435371398926,10.314371109008789,55.81051254272461
4.04,0.0,-2.3730435371398926,6.975362777709961,47.46091842651367
4.08,0.0,-2.3730435371398926,0.12196746468544006,40.0781135559082
4.1,0.0,-2.3730435371398926,-6.743406772613525,32.69530487060547
4.14,0.0,-2.285125494003296,-10.096945762634277,28.740217208862305
4.16,0.0,-2.3730435371398926,-16.48197364807129,27.070289611816406
4.2,0.0,-2.3730435371398926,-16.48197364807129,27.070289611816406
4.24,0.0,-2.3730435371398926,-19.450719833374023,27.070289611816406
4.26,0.0,-2.3730435371398926,-29.17336082458496,27.158180236816406
4.3,0.0,-2.3730435371398926,-30.94475746154785,28.124980926513672
4.34,0.0,-2.3730435371398926,-33.56218719482422,31.113271713256836
4.36,0.0,-2.3730435371398926,-34.861820220947266,37.17771530151367
4.4,0.0,-2.3730435371398926,-34.998046875,43.242156982421875
4.44,0.0,-2.3730435371398926,-34.233882904052734,50.53708267211914
4.48,0.0,-2.3730435371398926,-32.114803314208984,60.55660629272461
4.5,0.0,-2.3730435371398926,-32.114803314208984,69.52145385742188
4.54,0.0,-2.3730435371398926,-26.58418083190918,78.92574310302734
4.58,0.0,-2.285125494003296,-21.537065505981445,87.18746185302734
4.6000000000000005,0.0,-2.3730435371398926,-15.62647819519043,95.09762573242188
4.64,0.0,-2.3730435371398926,-15.62647819519043,101.6015396118164
4.68,0.0,-2.3730435371398926,-5.659477233886719,108.98433685302734
4.72,0.0,-2.285125494003296,1.3339297771453857,114.7851333618164
4.74,0.0,-2.3730435371398926,1.3339297771453857,121.4648208618164
4.78,0.0,-2.3730435371398926,11.649555206298828,125.77145385742188
4.82,0.0,-2.3730435371398926,18.006175994873047,128.14450073242188
4.84,0.0,-2.3730435371398926,23.642780303955078,128.93551635742188
4.88,0.0,-2.3730435371398926,26.11778450012207,128.93551635742188
4.92,0.0,-2.285125494003296,30.254058837890625,128.84762573242188
4.94,0.0,-2.3730435371398926,33.16737365722656,127.88082122802734
4.98,0.0,-2.3730435371398926,34.12514877319336,124.89254760742188
5.0200000000000005,0.0,-2.3730435371398926,34.9915771484375,120.32223510742188
5.04,0.0,-2.3730435371398926,34.43207931518555,112.76364135742188
5.08,0.0,-2.3730435371398926,34.43207931518555,103.53511810302734
5.12,0.0,-2.3730435371398926,30.97535514831543,96.5917739868164
5.16,0.0,-2.3730435371398926,27.057270050048828,86.48434448242188
5.18,0.0,-2.3730435371398926,22.023820877075195,75.67379760742188
5.22,0.0,-2.3730435371398926,19.15087890625,65.83004760742188
5.26,0.0,-2.285125494003296,12.838813781738281,55.28316879272461
5.3,0.0,-2.3730435371398926,5.990209579467773,44.296844482421875
5.32,0.0,-2.285125494003296,-1.1132296323776245,34.71677017211914
5.36,0.0,-2.3730435371398926,-4.668862342834473,29.531234741210938
5.4,0.0,-2.3730435371398926,-11.603363990783691,25.400362014770508
5.42,0.0,-2.3730435371398926,-18.062400817871094,24.257781982421875
5.46,0.0,-2.3730435371398926,-21.028005599975586,24.257781982421875
5.5,0.0,-2.3730435371398926,-26.2752628326416,24.257781982421875
5.5200000000000005,0.0,-2.3730435371398926,-30.429533004760742,24.697235107421875
5.5600000000000005,0.0,-2.3730435371398926,-32.03939437866211,26.10348892211914
5.6000000000000005,0.0,-2.3730435371398926,-34.23772430419922,29.091779708862305
5.62,0.0,-2.3730435371398926,-34.23772430419922,35.24411392211914
5.66,0.0,-2.3730435371398926,-34.802001953125,42.978485107421875
5.7,0.0,-2.3730435371398926,-33.386878967285156,50.624969482421875
5.74,0.0,-2.3730435371398926,-30.533973693847656,59.589813232421875
5.76,0.0,-2.3730435371398926,-30.533973693847656,67.58785247802734
5.8,0.0,-2.3730435371398926,-23.87820053100586,76.99215698242188
5.82,0.0,-2.3730435371398926,-18.125675201416016,84.19918060302734
5.86,0.0,-2.3730435371398926,-18.125675201416016,93.25191497802734
5.9,0.0,-2.3730435371398926,-8.125657081604004,97.99801635742188
5.92,0.0,-2.3730435371398926,-0.9562187790870667,103.18355560302734
5.96,0.0,-2.3730435371398926,2.665921211242676,108.72067260742188
6.0,0.0,-2.3730435371398926,9.791304588317871,112.76364135742188
6.0200000000000005,0.0,-2.3730435371398926,16.503978729248047,116.4550552368164
6.0600000000000005,0.0,-2.3730435371398926,16.503978729248047,117.86129760742188
6.1000000000000005,0.0,-2.3730435371398926,19.614032745361328,117.86129760742188
6.140000000000001,0.0,-2.3730435371398926,25.172969818115234,117.86129760742188
6.18,0.0,-2.3730435371398926,32.85600280761719,117.15816497802734
6.22,0.0,-2.3730435371398926,34.640865325927734,114.25778198242188
6.26,0.0,-2.3730435371398926,34.640865325927734,108.72067260742188
