dt,yaw_cmd,yaw_vel,yaw_pos,pitch_cmd,pitch_vel,pitch_pos
1778337346.399612,0.0,0.0,-2.021480083465576,0.0,0.0,-4.746124744415283
1778337346.4006765,0.3783149719238281,0.0,-2.021480083465576,-3.682888984680176,0.0,-4.746124744415283
1778337346.4016612,0.6318256258964539,0.0,-2.021480083465576,-5.881824493408203,0.0,-4.746124744415283
1778337346.4026275,0.6318256258964539,-0.11858563870191574,-2.285125494003296,-5.881824493408203,0.0,-4.746124744415283
1778337346.4035406,0.7589085102081299,-0.11851858347654343,-2.548825263977051,-6.850623607635498,0.0,-4.746124744415283
1778337346.4044414,1.2689197063446045,-0.32213544845581055,-3.164034128189087,-9.516615867614746,-0.0920400321483612,-4.921906471252441
1778337346.4053624,1.524621844291687,-1.1213136911392212,-5.185551643371582,-9.982003211975098,0.0,-4.921906471252441
1778337346.406374,1.7805440425872803,-1.5402520895004272,-8.61326789855957,-9.81558609008789,0.0,-4.921906471252441
1778337346.4391289,2.0364980697631836,-2.1344876289367676,-13.359375,-9.026747703552246,0.0,-4.921906471252441
1778337346.4772398,2.0364980697631836,-1.3874561786651611,-16.435527801513672,-9.026747703552246,0.0,-4.921906471252441
1778337346.5090168,2.4200658798217773,-1.2903023958206177,-18.896472930908203,-6.793612480163574,0.0,-4.921906471252441
1778337346.541396,2.6752469539642334,-0.4389910399913788,-19.687463760375977,-4.741453647613525,0.0,-4.921906471252441
1778337346.576737,2.9297666549682617,-0.7855400443077087,-21.269500732421875,-2.386129379272461,-0.26177218556404114,-5.449251651763916
1778337346.6069229,3.0567140579223633,-0.19508284330368042,-21.621063232421875,-1.1410138607025146,-0.34146666526794434,-6.064460754394531
1778337346.6394818,3.3098530769348145,-0.09752590954303741,-21.796844482421875,1.3849447965621948,-0.2926056683063507,-6.591805934906006
1778337346.6768918,3.5618064403533936,0.0,-21.796844482421875,3.8239760398864746,-0.5393027663230896,-7.734386444091797
1778337346.706441,3.6872711181640625,0.0,-21.796844482421875,4.961622714996338,-0.14622379839420319,-7.998059272766113
1778337346.7371924,3.937040090560913,0.0,-21.796844482421875,6.981836795806885,-0.7247989177703857,-9.228531837463379
1778337346.7728984,3.937040090560913,0.0,-21.796844482421875,6.981836795806885,-0.37375780940055847,-10.019549369812012
1778337346.8048122,4.308375358581543,0.2922525703907013,-21.269500732421875,9.142603874206543,-0.4866703748703003,-10.898458480834961
1778337346.8375413,4.55339241027832,1.0227065086364746,-19.423818588256836,9.867383003234863,-0.7312352061271667,-12.216821670532227
1778337346.867707,4.675053596496582,1.317997694015503,-17.050737380981445,9.99354076385498,-0.7318864464759827,-13.535184860229492
1778337346.9004116,4.916536331176758,1.2691782712936401,-14.765628814697266,9.762519836425781,-0.7811509370803833,-14.941438674926758
1778337346.9377027,5.155372619628906,1.8249876499176025,-10.898430824279785,8.902786254882812,-0.9953004121780396,-17.050792694091797
1778337346.9681828,5.2737250328063965,2.3380203247070312,-6.679669380187988,8.252601623535156,-1.0230140686035156,-18.896501541137695
1778337347.0003214,5.508150100708008,1.9488458633422852,-3.164034128189087,6.5633978843688965,-1.1205862760543823,-20.91798973083496
1778337347.0375128,5.73933744430542,1.659348964691162,0.3516008257865906,4.449283599853516,-1.0373175144195557,-23.11526107788086
1778337347.0677795,5.853641986846924,1.4633073806762695,2.9883270263671875,3.2745039463043213,-0.8779006600379944,-24.697298049926758
1778337347.099131,6.079521179199219,0.8287568688392639,4.39452600479126,0.7842482924461365,-0.725051999092102,-25.92774200439453
1778337347.1353762,6.079521179199219,0.16623158752918243,4.746089458465576,0.7842482924461365,-0.49880290031433105,-26.982433319091797
1778337347.1665466,6.411062717437744,0.0,4.746089458465576,-2.997560501098633,-1.1241209506988525,-29.003923416137695
1778337347.1998982,6.626883029937744,0.0,4.746089458465576,-5.311254024505615,-0.7381361126899719,-30.41017723083496
1778337347.2369945,6.83825159072876,0.0,4.746089458465576,-7.281210422515869,-0.7483462691307068,-31.992212295532227
1778337347.269118,6.942190170288086,0.0,4.746089458465576,-8.095938682556152,-0.7853323817253113,-33.486358642578125
1778337347.3015172,7.146421432495117,0.0,4.746089458465576,-9.318012237548828,-0.8792833685874939,-35.06836700439453
1778337347.3369029,7.345587730407715,-0.4370678961277008,3.8672354221343994,-9.933475494384766,-0.5246336460113525,-36.1230583190918
1778337347.3687267,7.44319486618042,-1.0134434700012207,1.9336365461349487,-9.999197959899902,-0.4144909977912903,-36.9140739440918
1778337347.3999312,7.634303569793701,-1.709105134010315,-0.9667896032333374,-9.64051628112793,-0.7250680923461914,-38.14454650878906
1778337347.4366558,7.819735050201416,-1.8664518594741821,-4.921852111816406,-8.651336669921875,-0.3318338990211487,-38.84767532348633
1778337347.4669387,7.910245895385742,-1.8531689643859863,-8.261704444885254,-7.938662052154541,-0.2925870418548584,-39.37501907348633
1778337347.4991932,8.086705207824707,-2.3865625858306885,-12.568329811096191,-6.134888648986816,-0.6331737041473389,-40.517601013183594
1778337347.5390317,8.256880760192871,-1.9027155637741089,-16.787092208862305,-3.9277217388153076,-0.555016040802002,-41.74807357788086
1778337347.5774844,8.256880760192871,-0.6730139255523682,-18.28120994567871,-3.9277217388153076,-0.5144016146659851,-42.890655517578125
1778337347.6170382,8.33953857421875,-0.3392055034637451,-19.072254180908203,-2.7171218395233154,-1.0935372114181519,-45.4394645690918
1778337347.6480234,8.653266906738281,0.0,-19.072254180908203,2.368386745452881,-1.022948980331421,-47.28517150878906
1778337347.6804426,8.799581527709961,0.0,-19.072254180908203,4.763401031494141,-0.7806788682937622,-48.69142532348633
1778337347.7175865,8.938554763793945,0.0,-19.072254180908203,6.845757484436035,-1.1609163284301758,-51.15237045288086
1778337347.7478404,9.005218505859375,0.0,-19.072254180908203,7.725500106811523,-0.8770919442176819,-52.73440170288086
1778337347.7789767,9.132758140563965,0.0,-19.072254180908203,9.088910102844238,-0.983456552028656,-54.40433120727539
1778337347.8154562,9.132758140563965,0.29063475131988525,-18.45699119567871,9.088910102844238,-0.9966205954551697,-56.51368713378906
1778337347.8477144,9.309186935424805,0.6459856033325195,-17.226518630981445,9.990656852722168,-1.0149999856948853,-58.447288513183594
1778337347.8793302,9.416573524475098,0.6230013966560364,-16.171829223632812,9.76990795135498,-1.142053246498108,-60.38088607788086
1778337347.9172535,9.416573524475098,1.1512407064437866,-13.62302017211914,9.76990795135498,-1.2305223941802979,-63.10550308227539
1778337347.9473548,9.561782836914062,1.9059205055236816,-10.195303916931152,8.2393798828125,-1.2706491947174072,-65.39064025878906
1778337347.9795182,9.647713661193848,1.9520072937011719,-6.679669380187988,6.516594409942627,-1.415340542793274,-67.9394760131836
1778337348.0169787,9.72471809387207,2.204108238220215,-2.021480083465576,4.3591766357421875,-1.413926124572754,-70.92776489257812
1778337348.0490012,9.759814262390137,1.567549228668213,0.9668096303939819,3.161252737045288,-1.2906900644302368,-73.38871002197266
1778337348.0815597,9.823078155517578,0.9260991811752319,2.636763572692871,0.626533031463623,-1.072292685508728,-75.32228088378906
1778337348.1165993,9.876959800720215,0.5237975716590881,3.691453695297241,-1.951505184173584,-1.0915868282318115,-77.5195541381836
1778337348.1468694,9.90032958984375,0.048760201781988144,3.7793173789978027,-3.202775716781616,-0.6339990496635437,-78.66213989257812
1778337348.1795626,9.939821243286133,0.0,3.7793173789978027,-5.525023460388184,-1.1209778785705566,-80.68362426757812
1778337348.2166743,9.969522476196289,0.0,3.7793173789978027,-7.478792190551758,-0.9540740847587585,-82.70511627197266
1778337348.246944,9.9806547164917,-0.0487307608127594,3.691453695297241,-8.275163650512695,-1.0232739448547363,-84.55081939697266
1778337348.2792823,9.995393753051758,0.0,3.691453695297241,-9.43951416015625,-1.0225117206573486,-86.39649963378906
1778337348.3165998,9.99998664855957,-0.16600212454795837,3.339890480041504,-9.970751762390137,-0.954435408115387,-88.4179916381836
1778337348.3468144,9.998438835144043,-1.023939609527588,1.494154930114746,-9.98569107055664,-0.5850996971130371,-89.47268676757812
1778337348.376298,9.987582206726074,-1.6047874689102173,-1.2304348945617676,-9.512202262878418,-0.6214659810066223,-90.52738189697266
1778337348.40793,9.97824478149414,-2.0006320476531982,-4.833988189697266,-9.031475067138672,-0.43896427750587463,-91.31838989257812
1778337348.4406357,9.951689720153809,-1.9503638744354248,-8.349568367004395,-7.621857166290283,-0.7802321314811707,-92.72464752197266
1778337348.4776478,9.91455078125,-2.487274408340454,-13.62302017211914,-5.697185516357422,-0.3730710446834564,-93.51566314697266
1778337348.5077143,9.891985893249512,-1.3666226863861084,-16.083965301513672,-4.580894947052002,-0.6344428658485413,-94.65824890136719
1778337348.5391197,9.838818550109863,-0.5192556977272034,-16.962873458862305,-2.1343495845794678,-0.9347073435783386,-96.2402572631836
1778337348.5789871,9.838818550109863,-0.07929825782775879,-17.138654708862305,-2.1343495845794678,-0.8721230626106262,-98.17385864257812
1778337348.6191318,9.80820083618164,0.0,-17.138654708862305,-0.8455203771591187,-0.9398975968360901,-100.45902252197266
1778337348.656578,9.738860130310059,0.0,-17.138654708862305,1.7542526721954346,-1.2467707395553589,-103.09574127197266
1778337348.686852,9.567617416381836,0.0,-17.138654708862305,6.432923316955566,-0.7798850536346436,-104.50199890136719
1778337348.7195628,9.465662002563477,0.0,-17.138654708862305,8.193366050720215,-0.7320342659950256,-105.82032775878906
1778337348.7590475,9.352804183959961,0.0,-17.138654708862305,9.397411346435547,-0.673408567905426,-107.3144760131836
1778337348.7959442,9.352804183959961,0.039658378809690475,-17.050737380981445,9.397411346435547,-0.9118356704711914,-109.33596801757812
1778337348.826352,9.163094520568848,0.3630695641040802,-16.435527801513672,9.990409851074219,-0.8817795515060425,-110.83011627197266
1778337348.8584585,9.023042678833008,0.585527777671814,-15.380838394165039,9.536028861999512,-0.8783196210861206,-112.41214752197266
1778337348.894784,9.023042678833008,0.5830109715461731,-14.150365829467773,9.536028861999512,-0.4996965825557709,-113.46683502197266
1778337348.926916,8.792704582214355,0.5986050963401794,-13.007811546325684,7.65405797958374,-0.2762775719165802,-113.99418640136719
1778337348.9596148,8.625730514526367,0.8768134713172913,-11.425776481628418,5.722662448883057,-0.19484125077724457,-114.34574127197266
1778337349.0001705,8.44811725616455,0.4147551655769348,-10.458949089050293,3.398003101348877,-0.07541901618242264,-114.52153015136719
1778337349.037347,8.259960174560547,0.08294501155614853,-10.283166885375977,0.838866114616394,0.539098858833313,-113.37894439697266
1778337349.0673034,8.161962509155273,-0.0488029345870018,-10.371085166931152,-0.474154531955719,0.0,-113.37894439697266
1778337349.0998437,7.958208084106445,0.0,-10.371085166931152,-3.0542829036712646,0.0,-113.37894439697266
1778337349.137078,7.744223117828369,0.0,-10.371085166931152,-5.425755977630615,0.0,-113.37894439697266
1778337349.1684973,7.633440971374512,0.0,-10.371085166931152,-6.481215476989746,0.0,-113.37894439697266
1778337349.1999536,7.404402256011963,0.0,-10.371085166931152,-8.240158081054688,0.0,-113.37894439697266
1778337349.2370274,7.165546417236328,0.0,-10.371085166931152,-9.43144702911377,0.0,-113.37894439697266
1778337349.2673628,7.042497634887695,0.0,-10.371085166931152,-9.786483764648438,-0.04873507469892502,-113.46683502197266
1778337349.2998288,6.789287567138672,0.0,-10.371085166931152,-9.983916282653809,0.0486917570233345,-113.37894439697266
1778337349.3371239,6.526778697967529,0.0,-10.371085166931152,-9.490398406982422,0.0,-113.37894439697266
1778337349.368591,6.392110824584961,0.0,-10.371085166931152,-8.99300479888916,0.0,-113.37894439697266
1778337349.399972,6.116103649139404,0.0,-10.371085166931152,-7.539366245269775,0.0,-113.37894439697266
1778337349.4370704,5.831421375274658,0.0,-10.371085166931152,-5.561478137969971,0.0,-113.37894439697266
1778337349.4673548,5.685913562774658,0.0,-10.371085166931152,-4.417418003082275,0.0,-113.37894439697266
1778337349.5000565,5.388746738433838,0.0,-10.371085166931152,-1.9181681871414185,0.0,-113.37894439697266
1778337349.5369823,5.0836334228515625,0.0,-10.371085166931152,0.7160900235176086,0.0,-113.37894439697266
1778337349.5685089,4.928196430206299,0.0,-10.371085166931152,2.0265746116638184,0.0,-113.37894439697266
1778337349.5999851,4.611769676208496,0.0,-10.371085166931152,4.519855499267578,0.0,-113.37894439697266
1778337349.6369278,4.288229465484619,0.0,-10.371085166931152,6.698941230773926,0.0,-113.37894439697266
1778337349.6690767,4.123904228210449,0.0,-10.371085166931152,7.621730327606201,0.0,-113.37894439697266
1778337349.7018375,3.790376663208008,0.0,-10.371085166931152,9.052531242370605,0.0,-113.37894439697266
1778337349.736874,3.450669527053833,0.0,-10.371085166931152,9.850120544433594,0.0,-113.37894439697266
1778337349.7689898,3.278623580932617,0.0,-10.371085166931152,9.991776466369629,0.0,-113.37894439697266
1778337349.8015103,2.9304051399230957,0.0,-10.371085166931152,9.747615814208984,0.0,-113.37894439697266
1778337349.8367527,2.5770397186279297,0.0,-10.371085166931152,8.818581581115723,-0.043608855456113815,-113.46683502197266
1778337349.8689373,2.3985633850097656,0.0,-10.371085166931152,8.115492820739746,0.04606284946203232,-113.37894439697266
1778337349.9014723,2.0383057594299316,0.0,-10.371085166931152,6.293382167816162,0.0,-113.37894439697266
1778337349.9369395,1.6740262508392334,0.0,-10.371085166931152,4.026834964752197,0.0,-113.37894439697266
1778337349.968923,1.4905261993408203,0.0,-10.371085166931152,2.775667667388916,0.0,-113.37894439697266
1778337350.001332,1.1211085319519043,0.0,-10.371085166931152,0.1476956456899643,0.0,-113.37894439697266
1778337350.0365949,0.7488808631896973,0.0,-10.371085166931152,-2.492225170135498,0.0,-113.37894439697266
1778337350.0669196,0.5618712902069092,0.0,-10.371085166931152,-3.7580010890960693,0.0,-113.37894439697266
1778337350.0992842,0.1863831728696823,0.0,-10.371085166931152,-6.068911552429199,-0.048714954406023026,-113.46683502197266
