dt,yaw_cmd,yaw_pos,pitch_cmd,pitch_pos
0.32,0.0,-2.1093435287475586,0.0,-5.976569652557373
0.32,-6.224146366119385,-2.1093435287475586,0.0,-5.976569652557373
0.32,-6.224146366119385,-2.1093435287475586,0.0,-5.976569652557373
0.32,-10.664216995239258,-2.1972618103027344,0.0,-5.976569652557373
0.32,-13.426103591918945,-2.460907220840454,0.0,-5.976569652557373
0.32,-15.977070808410645,-2.900388717651367,0.0,-5.888679027557373
0.32,-17.160354614257812,-4.57028865814209,0.0,-5.625033378601074
0.32,-19.318336486816406,-7.119096279144287,0.0,-5.0976881980896
0.34,-21.169048309326172,-11.601557731628418,0.0,-4.306670665740967
0.38,-21.969362258911133,-15.292974472045898,0.0,-3.5156521797180176
0.4,-23.303096771240234,-19.95116424560547,0.0,-2.4609618186950684
0.44,-23.303096771240234,-25.40036964416504,0.0,-1.3183804750442505
0.48,-24.59664535522461,-33.04684829711914,0.0,-0.08790817856788635
0.5,-24.965457916259766,-40.078094482421875,0.0,1.142564058303833
0.54,-24.965457916259766,-48.51561737060547,0.0,2.900381565093994
0.58,-24.760101318359375,-56.6015510559082,0.0,4.394498825073242
0.6,-24.11875343322754,-62.753883361816406,0.0,5.449189186096191
0.64,-23.649545669555664,-68.46676635742188,0.0,6.415988922119141
0.68,-22.42281723022461,-72.1581802368164,0.0,7.119115829467773
0.7000000000000001,-22.42281723022461,-76.55272674560547,0.0,7.998025417327881
0.74,-19.90007209777832,-79.80465698242188,0.0,8.613261222839355
0.78,-17.801616668701172,-82.3534927368164,0.0,9.140606880187988
0.8,-15.40805721282959,-84.11132049560547,0.0,9.404278755187988
0.84,-15.40805721282959,-84.63865661621094,0.0,9.492170333862305
0.88,-11.349808692932129,-84.63865661621094,0.0,9.492170333862305
0.92,-8.396409034729004,-84.63865661621094,0.0,9.492170333862305
0.9400000000000001,-5.300587177276611,-84.63865661621094,0.0,9.492170333862305
0.98,-5.300587177276611,-84.63865661621094,0.0,9.492170333862305
1.02,-0.5018197298049927,-84.63865661621094,0.0,9.492170333862305
1.06,2.723365545272827,-84.63865661621094,0.0,9.492170333862305
1.08,5.906596660614014,-84.63865661621094,0.0,9.492170333862305
1.12,5.906596660614014,-83.84764099121094,0.0,9.492170333862305
1.16,10.486217498779297,-81.8261489868164,0.0,9.316388130187988
1.18,13.333876609802246,-79.716796875,0.0,9.316388130187988
1.22,14.677613258361816,-76.37694549560547,0.0,8.876934051513672
1.26,17.176137924194336,-73.47654724121094,0.0,8.349588394165039
1.3,19.387319564819336,-69.78515625,0.0,7.7343525886535645
1.32,20.37296485900879,-66.44530487060547,0.0,7.031225204467773
1.36,22.08281898498535,-62.49021530151367,0.0,6.415988922119141
1.3800000000000001,22.79947853088379,-56.953086853027344,0.0,5.361298561096191
1.42,23.940269470214844,-50.009735107421875,0.0,4.130825996398926
1.44,23.940269470214844,-42.53903579711914,0.0,2.636708974838257
1.48,24.884462356567383,-35.85935592651367,0.0,1.4062366485595703
1.52,24.984962463378906,-28.915977478027344,0.0,0.08787357062101364
1.54,24.657609939575195,-21.796844482421875,0.0,-1.3183804750442505
1.58,24.334522247314453,-15.996047019958496,0.0,-2.28518009185791
1.62,23.3756046295166,-12.392548561096191,0.0,-3.164088726043701
1.6400000000000001,22.013080596923828,-7.822222709655762,0.0,-4.04299783706665
1.68,21.1871395111084,-3.427734136581421,0.0,-4.834015846252441
1.72,19.262964248657227,-0.1757444143295288,0.0,-5.361361026763916
1.74,19.262964248657227,2.197281837463379,0.0,-5.976569652557373
1.78,15.75912094116211,4.042962551116943,0.0,-6.3281331062316895
1.82,13.069117546081543,4.570307731628418,0.0,-6.416024208068848
1.84,10.148706436157227,4.4824442863464355,0.0,-6.416024208068848
1.8800000000000001,10.148706436157227,4.4824442863464355,0.0,-6.416024208068848
1.92,5.446884632110596,4.4824442863464355,0.0,-6.416024208068848
1.94,2.17739200592041,4.4824442863464355,0.0,-6.416024208068848
1.98,2.17739200592041,4.4824442863464355,0.0,-6.416024208068848
2.02,-2.786876678466797,4.4824442863464355,0.0,-6.416024208068848
2.04,-6.051641464233398,3.339890480041504,0.0,-6.416024208068848
2.08,-6.051641464233398,0.87894606590271,0.0,-6.2402424812316895
2.12,-10.737565040588379,-2.724606990814209,0.0,-5.888679027557373
2.14,-13.639585494995117,-5.9765424728393555,0.0,-5.185579299926758
2.18,-13.639585494995117,-11.513639450073242,0.0,-4.218779563903809
2.22,-17.529783248901367,-16.699172973632812,0.0,-3.2519795894622803
2.24,-19.746280670166016,-21.796844482421875,0.0,-2.109398365020752
2.2800000000000002,-20.725730895996094,-27.77342414855957,0.0,-0.9668169021606445
2.32,-22.40448760986328,-34.36521530151367,0.0,0.17576444149017334
2.34,-22.40448760986328,-42.53903579711914,0.0,1.5820183753967285
2.38,-24.16695213317871,-49.57030487060547,0.0,3.0761632919311523
2.42,-24.805540084838867,-55.81053161621094,0.0,4.130825996398926
2.44,-24.805540084838867,-62.050758361816406,0.0,5.361298561096191
2.48,-24.926761627197266,-66.35741424560547,0.0,6.064425468444824
2.52,-24.44561004638672,-69.87301635742188,0.0,6.679661750793457
2.54,-24.44561004638672,-74.09178161621094,0.0,7.470679759979248
2.58,-22.89908790588379,-78.74996948242188,0.0,8.437479972839355
2.62,-21.343433380126953,-84.28709411621094,0.0,9.404278755187988
2.64,-19.398391723632812,-89.82421875,0.0,10.458970069885254
2.68,-18.290267944335938,-92.81248474121094,0.0,10.898423194885254
2.72,-15.827353477478027,-94.57029724121094,0.0,11.162096977233887
2.74,-13.07280158996582,-94.92186737060547,0.0,11.162096977233887
2.7800000000000002,-11.601435661315918,-94.92186737060547,0.0,11.162096977233887
2.82,-8.503747940063477,-94.92186737060547,0.0,11.162096977233887
2.84,-5.246700763702393,-94.92186737060547,0.0,11.24998664855957
2.88,-3.5768918991088867,-94.92186737060547,0.0,11.162096977233887
2.92,-0.19295619428157806,-94.92186737060547,0.0,11.24998664855957
2.94,3.1980676651000977,-94.92186737060547,0.0,11.162096977233887
2.98,4.876628875732422,-94.92186737060547,0.0,11.162096977233887
3.02,8.160888671875,-93.77928161621094,0.0,11.162096977233887
3.06,11.297159194946289,-91.7577896118164,0.0,11.07420539855957
3.08,11.297159194946289,-88.50582885742188,0.0,10.98631477355957
3.12,12.791302680969238,-84.63865661621094,0.0,10.371078491210938
3.16,18.11362075805664,-80.5077896118164,0.0,9.667951583862305
3.18,18.11362075805664,-74.35545349121094,0.0,8.525370597839355
3.22,21.246217727661133,-69.87301635742188,0.0,7.6464619636535645
3.2600000000000002,22.84718894958496,-65.47850036621094,0.0,6.767552375793457
3.2800000000000002,22.84718894958496,-58.27147674560547,0.0,5.53708028793335
3.3200000000000003,23.489002227783203,-50.44921875,0.0,4.130825996398926
3.36,24.439361572265625,-43.85740280151367,0.0,2.724599838256836
3.38,24.950721740722656,-37.35350036621094,0.0,1.4941275119781494
3.42,24.78372573852539,-30.5859317779541,0.0,0.5273279547691345
3.46,24.098236083984375,-24.609352111816406,0.0,-0.5273625254631042
3.48,22.95463752746582,-18.896472930908203,0.0,-1.845725655555725
3.52,22.21706771850586,-14.941411018371582,0.0,-2.6367435455322266
3.56,20.427099227905273,-12.656248092651367,0.0,-3.164088726043701
3.58,18.24557113647461,-9.052695274353027,0.0,-3.779325246810913
